able-Agnes,0
able-Junior,0
able-Vicki,0
able-Alex,0
able-Kathy,0
able-Victoria,0
able-Bruce,0
able-Princess,0
able-Fred,0
able-Ralph,0
act-Agnes,0
act-Junior,0
act-Vicki,0
act-Alex,0
act-Kathy,0
act-Victoria,0
act-Bruce,0
act-Princess,0
act-Fred,0
act-Ralph,0
acted-Agnes,0
acted-Junior,0
acted-Vicki,0
acted-Alex,0
acted-Kathy,0
acted-Victoria,0
acted-Bruce,0
acted-Princess,0
acted-Fred,0
acted-Ralph,0
acting-Agnes,0
acting-Junior,0
acting-Vicki,0
acting-Alex,0
acting-Kathy,0
acting-Victoria,0
acting-Bruce,0
acting-Princess,0
acting-Fred,0
acting-Ralph,0
action-Agnes,0
action-Junior,0
action-Vicki,0
action-Alex,0
action-Kathy,0
action-Victoria,0
action-Bruce,0
action-Princess,0
action-Fred,0
action-Ralph,0
active-Agnes,0
active-Junior,0
active-Vicki,0
active-Alex,0
active-Kathy,0
active-Victoria,0
active-Bruce,0
active-Princess,0
active-Fred,0
active-Ralph,0
actively-Agnes,0
actively-Junior,0
actively-Vicki,0
actively-Alex,0
actively-Kathy,0
actively-Victoria,0
actively-Bruce,0
actively-Princess,0
actively-Fred,0
actively-Ralph,0
actor-Agnes,0
actor-Junior,0
actor-Vicki,0
actor-Alex,0
actor-Kathy,0
actor-Victoria,0
actor-Bruce,0
actor-Princess,0
actor-Fred,0
actor-Ralph,0
actors-Agnes,0
actors-Junior,0
actors-Vicki,0
actors-Alex,0
actors-Kathy,0
actors-Victoria,0
actors-Bruce,0
actors-Princess,0
actors-Fred,0
actors-Ralph,0
acts-Agnes,0
acts-Junior,0
acts-Vicki,0
acts-Alex,0
acts-Kathy,0
acts-Victoria,0
acts-Bruce,0
acts-Princess,0
acts-Fred,0
acts-Ralph,0
actual-Agnes,0
actual-Junior,0
actual-Vicki,0
actual-Alex,0
actual-Kathy,0
actual-Victoria,0
actual-Bruce,0
actual-Princess,0
actual-Fred,0
actual-Ralph,0
actually-Agnes,0
actually-Junior,0
actually-Vicki,0
actually-Alex,0
actually-Kathy,0
actually-Victoria,0
actually-Bruce,0
actually-Princess,0
actually-Fred,0
actually-Ralph,0
add-Agnes,0
add-Junior,0
add-Vicki,0
add-Alex,0
add-Kathy,0
add-Victoria,0
add-Bruce,0
add-Princess,0
add-Fred,0
add-Ralph,0
added-Agnes,0
added-Junior,0
added-Vicki,0
added-Alex,0
added-Kathy,0
added-Victoria,0
added-Bruce,0
